Performance Date,Return,Status,Fund Long Name
2012-07-31,0.0005293654,Final,HFRI ED: Merger Arbitrage Index
2012-06-30,0.000554087,Final,HFRI ED: Merger Arbitrage Index
2012-05-31,-0.0045212609,Final,HFRI ED: Merger Arbitrage Index
2012-04-30,-0.0018605,Final,HFRI ED: Merger Arbitrage Index
2012-03-31,0.0011039167,Final,HFRI ED: Merger Arbitrage Index
2012-02-29,0.0088860417,Final,HFRI ED: Merger Arbitrage Index
2012-01-31,0.00679104,Final,HFRI ED: Merger Arbitrage Index
2011-12-31,0.0009984,Final,HFRI ED: Merger Arbitrage Index
2011-11-30,0.0017390833,Final,HFRI ED: Merger Arbitrage Index
2011-10-31,0.0122253333,Final,HFRI ED: Merger Arbitrage Index
2011-09-30,-0.00656892,Final,HFRI ED: Merger Arbitrage Index
2011-08-31,-0.01110484,Final,HFRI ED: Merger Arbitrage Index
2011-07-31,-0.003902,Final,HFRI ED: Merger Arbitrage Index
2011-06-30,-0.001177,Final,HFRI ED: Merger Arbitrage Index
2011-05-31,-0.00043036,Final,HFRI ED: Merger Arbitrage Index
2011-04-30,0.00729824,Final,HFRI ED: Merger Arbitrage Index
2011-03-31,0.0025416667,Final,HFRI ED: Merger Arbitrage Index
2011-02-28,0.0071996957,Final,HFRI ED: Merger Arbitrage Index
2011-01-31,0.0062932174,Final,HFRI ED: Merger Arbitrage Index
2010-12-31,0.0087040476,Final,HFRI ED: Merger Arbitrage Index
2010-11-30,-0.0034832,Final,HFRI ED: Merger Arbitrage Index
2010-10-31,0.0032783,Final,HFRI ED: Merger Arbitrage Index
2010-09-30,0.01189935,Final,HFRI ED: Merger Arbitrage Index
2010-08-31,0.0045988,Final,HFRI ED: Merger Arbitrage Index
2010-07-31,0.0138328,Final,HFRI ED: Merger Arbitrage Index
2010-06-30,0.00083085,Final,HFRI ED: Merger Arbitrage Index
2010-05-31,-0.0124637,Final,HFRI ED: Merger Arbitrage Index
2010-04-30,0.0025961,Final,HFRI ED: Merger Arbitrage Index
2010-03-31,0.0062544,Final,HFRI ED: Merger Arbitrage Index
2010-02-28,0.00610805,Final,HFRI ED: Merger Arbitrage Index
2010-01-31,0.0031443333,Final,HFRI ED: Merger Arbitrage Index
2009-12-31,0.00912435,Final,HFRI ED: Merger Arbitrage Index
2009-11-30,0.00772905,Final,HFRI ED: Merger Arbitrage Index
2009-10-31,0.00386,Final,HFRI ED: Merger Arbitrage Index
2009-09-30,0.0115771579,Final,HFRI ED: Merger Arbitrage Index
2009-08-31,0.0114200526,Final,HFRI ED: Merger Arbitrage Index
2009-07-31,0.0071425789,Final,HFRI ED: Merger Arbitrage Index
2009-06-30,0.00971145,Final,HFRI ED: Merger Arbitrage Index
2009-05-31,0.0143694762,Final,HFRI ED: Merger Arbitrage Index
2009-04-30,0.01112785,Final,HFRI ED: Merger Arbitrage Index
2009-03-31,0.0206921429,Final,HFRI ED: Merger Arbitrage Index
2009-02-28,0.0019965714,Final,HFRI ED: Merger Arbitrage Index
2009-01-31,0.002082381,Final,HFRI ED: Merger Arbitrage Index
2008-12-31,0.0115373913,Final,HFRI ED: Merger Arbitrage Index
2008-11-30,-0.0025477391,Final,HFRI ED: Merger Arbitrage Index
